"Date","Capital","Return(%)"
"Jan 1990",92349.39303242277,-7.650606967577223
"Feb 1990",92789.5885381988,0.47666312828011925
"Mar 1990",95912.95033839696,3.366069242684855
"Apr 1990",96659.2150693946,0.7780646183489281
"May 1990",108064.74776566017,11.79973651563091
"Jun 1990",109790.02384737453,1.5965207131706238
"Jul 1990",111300.53295634649,1.3758163593003747
"Aug 1990",101671.68745236739,-8.651212396040965
"Sep 1990",97783.03236383433,-3.8247177616235417
"Oct 1990",99251.5799922962,1.501843001756864
"Nov 1990",106113.39489908272,6.913557353262423
"Dec 1990",108097.1161487709,1.8694352881412968
"Jan 1991",114064.9418137788,5.52080007092377
"Feb 1991",121882.03818234461,6.853198050394771
"Mar 1991",124696.81285053414,2.309425334665338
"Apr 1991",122697.17585513744,-1.6035991214896184
"May 1991",126659.58443415201,3.2294211756697555
"Jun 1991",121038.63862836332,-4.437836923988103
"Jul 1991",128264.47768660239,5.969861475743521
"Aug 1991",131245.21590582322,2.3239000173562285
"Sep 1991",128836.96631837443,-1.8349237119445694
"Oct 1991",130731.27948336893,1.4703180454539666
"Nov 1991",127579.95673566274,-2.4105346173920683
"Dec 1991",142974.6699807854,12.06671771884944
"Jan 1992",137870.06590440893,-3.5702856156705876
"Feb 1992",136954.01955974303,-0.6644272914912652
"Mar 1992",133300.65623816798,-2.6675838601300406
"Apr 1992",135583.99301232764,1.7129223805770533
"May 1992",137344.1344728626,1.2981926711473468
"Jun 1992",134736.3089050714,-1.8987527773211776
"Jul 1992",140476.43306012027,4.260265255665474
"Aug 1992",137883.6885687806,-1.8456793320129616
"Sep 1992",136994.58143446228,-0.6448240133022143
"Oct 1992",136841.47103618068,-0.11176383523959776
"Nov 1992",139168.01609548647,1.7001754232024213
"Dec 1992",138321.72862509242,-0.6081048606839334
"Jan 1993",137102.01501201343,-0.8817946574286251
"Feb 1993",137116.0584500609,0.010243057365877384
"Mar 1993",138046.35256842576,0.6784720395851318
"Apr 1993",131934.30050329585,-4.427536078579363
"May 1993",135990.09901007923,3.0741046803685945
"Jun 1993",134553.22657218043,-1.0566007734080007
"Jul 1993",130475.00034022988,-3.030939008930278
"Aug 1993",134388.57861096307,2.9994851584809634
"Sep 1993",131792.84076313517,-1.9315167067450068
"Oct 1993",135889.36659454796,3.1083068000448355
"Nov 1993",137986.0174402232,1.5429101615662022
"Dec 1993",138701.478897452,0.5185028675378289
"Jan 1994",141312.82835934346,1.8827120537208808
"Feb 1994",138094.03432852376,-2.2777790722825597
"Mar 1994",130889.11793418891,-5.217398730776779
"Apr 1994",132664.17346564017,1.3561521075753369
"May 1994",133835.26913925825,0.8827520219099716
"Jun 1994",129150.58120546324,-3.5003388597967366
"Jul 1994",133995.4395693206,3.7513252504452588
"Aug 1994",138721.49832916685,3.52702955789872
"Sep 1994",136611.0281900253,-1.521372076110139
"Oct 1994",141724.4481786176,3.7430506572862843
"Nov 1994",139806.29696388147,-1.3534370670603368
"Dec 1994",142010.25143325562,1.5764343361039934
"Jan 1995",147646.7478567418,3.9690771381637457
"Feb 1995",153118.63530122768,3.7060670308804333
"Mar 1995",158000.52131045307,3.1883029780283456
"Apr 1995",165415.9656129175,4.693303693532713
"May 1995",172784.43811376853,4.454511070650624
"Jun 1995",176288.18990411083,2.0278167574531603
"Jul 1995",181980.11882162528,3.2287636061215874
"Aug 1995",177226.51210509578,-2.612157167118312
"Sep 1995",185249.31074560533,4.526861441448449
"Oct 1995",191546.5594859636,3.39933720401584
"Nov 1995",197295.4225726776,3.0012875731841415
"Dec 1995",200268.50546327268,1.5069193455311325
"Jan 1996",208087.81518130106,3.9044130778028707
"Feb 1996",210726.20485085098,1.2679212702825238
"Mar 1996",211014.58233760326,0.1368493714184238
"Apr 1996",213102.963344593,0.9896856339760118
"May 1996",223203.29981970682,4.739650878895252
"Jun 1996",227660.2410472636,1.996807946458179
"Jul 1996",219371.7051682482,-3.6407480906139655
"Aug 1996",224005.61787267413,2.1123566053661724
"Sep 1996",239241.0766958951,6.801373540497946
"Oct 1996",249783.21702262055,4.406492594131639
"Nov 1996",270197.07285257464,8.172629079441073
"Dec 1996",264570.67993361194,-2.0823293381984853
"Jan 1997",296172.6686354707,11.944629960428177
"Feb 1997",291781.4045054608,-1.4826702781999823
"Mar 1997",279930.4155773247,-4.061598424417179
"Apr 1997",311453.9231657996,11.261194151932807
"May 1997",327578.8961812038,5.1773221706442385
"Jun 1997",342761.6650136522,4.634843394810728
"Jul 1997",368271.91921864846,7.442563392840373
"Aug 1997",341027.2102461874,-7.397987071690215
"Sep 1997",359275.93687937653,5.351105743150342
"Oct 1997",349525.85202546115,-2.713815163521194
"Nov 1997",370637.98120828683,6.040219646267464
"Dec 1997",373777.73941210227,0.847122627200747
"Jan 1998",384572.442394165,2.888000499719756
"Feb 1998",410985.99666066846,6.868290952431555
"Mar 1998",427362.70222290664,3.9847356589522986
"Apr 1998",436388.4203817044,2.1119573869808894
"May 1998",426182.2748722685,-2.3387755111624497
"Jun 1998",461312.65099072724,8.243040170778503
"Jul 1998",463869.7944338553,0.5543189499867873
"Aug 1998",404357.9537333851,-12.829427872772659
"Sep 1998",428435.0075321811,5.954391047955321
"Oct 1998",462665.8539477569,7.989740757355035
"Nov 1998",504715.44191415864,9.088543623353251
"Dec 1998",533982.5394190396,5.798732330020262
"Jan 1999",572960.8134671461,7.299540934524562
"Feb 1999",549832.9339045426,-4.036555209186165
"Mar 1999",580093.9322017196,5.503671466582372
"Apr 1999",583020.8772451709,0.5045639819644787
