"Date","Capital","Return(%)"
"Jan 1990",91354.87325191218,-8.645126748087806
"Feb 1990",91345.11939106355,-0.01067689166590613
"Mar 1990",94758.07278495809,3.736328132960365
"Apr 1990",96906.15881712217,2.2669161254882164
"May 1990",108499.53399550804,11.963507087577874
"Jun 1990",111084.94690836774,2.3828792785107744
"Jul 1990",112934.76383888283,1.6652273615803237
"Aug 1990",103056.32175009567,-8.747033909664992
"Sep 1990",99516.2146939142,-3.435118773951573
"Oct 1990",102391.8504428883,2.8896152831162425
"Nov 1990",110014.69703533617,7.444778622005366
"Dec 1990",112101.0434083697,1.896425140691349
"Jan 1991",117225.56597590279,4.571342435114634
"Feb 1991",124345.61470828232,6.073801967262971
"Mar 1991",129879.58155321499,4.450472063623234
"Apr 1991",128618.78661410273,-0.9707414545339188
"May 1991",133196.8020872165,3.5593676426518117
"Jun 1991",127916.82912582482,-3.964038834756989
"Jul 1991",136202.47259275866,6.477367773699028
"Aug 1991",139589.17816370833,2.4865228262601624
"Sep 1991",136284.57738748618,-2.367376052853154
"Oct 1991",138751.088588084,1.809824154632711
"Nov 1991",137756.2231656689,-0.7170144987969085
"Dec 1991",156029.77127439616,13.265134372006603
"Jan 1992",152068.8423724331,-2.538572523443172
"Feb 1992",151067.98140177195,-0.6581630760428503
"Mar 1992",147807.9997776734,-2.1579566985994836
"Apr 1992",150892.45792308476,2.0868005453364313
"May 1992",152589.07747879258,1.1243898993100299
"Jun 1992",147884.8209985983,-3.08295754710759
"Jul 1992",154277.05084729267,4.322438101172632
"Aug 1992",150736.99423972814,-2.2946099812787946
"Sep 1992",148762.0554378085,-1.3101885253057
"Oct 1992",149378.18569304358,0.41417164707882037
"Nov 1992",152211.3245313847,1.8966215349293991
"Dec 1992",150473.52345946632,-1.1417028774097782
"Jan 1993",146519.02501663117,-2.628036050408822
"Feb 1993",145738.00201134488,-0.5330522812294403
"Mar 1993",145912.6508149354,0.11983751744923943
"Apr 1993",140868.07974565937,-3.457254077080796
"May 1993",143858.83302362746,2.123087986553074
"Jun 1993",141970.14734693017,-1.312874320610613
"Jul 1993",135857.3575718137,-4.305686716080337
"Aug 1993",139038.1045721673,2.3412401486406553
"Sep 1993",135543.37533768438,-2.5135046577602016
"Oct 1993",142025.3568662663,4.782219354087269
"Nov 1993",146964.48718581616,3.477639788084219
"Dec 1993",148547.56356308516,1.0771829355396667
"Jan 1994",148911.54621522024,0.2450276823157127
"Feb 1994",144806.77348088342,-2.7565174351250277
"Mar 1994",137097.97225894034,-5.323508725895854
"Apr 1994",139749.2042682949,1.9338229192384482
"May 1994",141040.4199261958,0.9239520644582555
"Jun 1994",134828.54868199793,-4.404319873301887
"Jul 1994",140645.88384035457,4.314616759746648
"Aug 1994",148996.95852954398,5.937660215259921
"Sep 1994",149282.8683023663,0.19188967053016537
"Oct 1994",155390.6429634914,4.091410307547183
"Nov 1994",153232.35821281138,-1.388941257670906
"Dec 1994",155505.98401621915,1.4837765534157832
"Jan 1995",159878.78092305793,2.8119798311958766
"Feb 1995",166083.7546201773,3.8810489179958996
"Mar 1995",172874.29986463,4.088627006285028
"Apr 1995",181087.8487477108,4.751168270536721
"May 1995",187592.91313477803,3.592214735583932
"Jun 1995",191337.66432031526,1.9962114362213512
"Jul 1995",198365.84939869703,3.673184317028144
"Aug 1995",193005.77384642686,-2.702116099378027
"Sep 1995",200599.9743653222,3.934701209994884
"Oct 1995",206088.42869769255,2.7360194584945763
"Nov 1995",212531.3300185497,3.126279996199166
"Dec 1995",213659.1239232415,0.530648307048831
"Jan 1996",220690.53751648712,3.2909493702556247
"Feb 1996",226125.08921903203,2.4625213947557345
"Mar 1996",226258.95427482153,0.05919955908113561
"Apr 1996",232420.83749521562,2.723376513492437
"May 1996",246156.7946643356,5.909950810414233
"Jun 1996",248004.966814806,0.7508109426719534
"Jul 1996",243708.9998960992,-1.7322100334848156
"Aug 1996",253275.09207548568,3.925210879969465
"Sep 1996",271644.37329471327,7.252699453664735
"Oct 1996",282775.8412933649,4.097809155271848
"Nov 1996",311422.77173099236,10.130614520180249
"Dec 1996",307657.2068483716,-1.209148856292852
"Jan 1997",343326.16773125064,11.593734874040651
"Feb 1997",340020.8678910262,-0.9627287841373566
"Mar 1997",328527.89507214236,-3.3800786669855976
"Apr 1997",368798.7919505908,12.257984019775625
"May 1997",384423.94537244365,4.236769144283481
"Jun 1997",402145.12741557806,4.609801823339987
"Jul 1997",436943.82347246195,8.653268107591128
"Aug 1997",402017.7563892164,-7.993262567641423
"Sep 1997",418157.6098072937,4.014711579667485
"Oct 1997",393548.0284529649,-5.885240583250429
"Nov 1997",428720.026400945,8.937155164070054
"Dec 1997",428325.98059261165,-0.09191215340261794
"Jan 1998",443476.5216298001,3.5371520112384536
"Feb 1998",474778.3692114869,7.058287430110344
"Mar 1998",492185.08345442737,3.6662820742759727
"Apr 1998",505750.6035977642,2.756182704304355
"May 1998",491328.8822444067,-2.85154802599652
"Jun 1998",532753.1368080296,8.431064417462197
"Jul 1998",532162.7807610198,-0.11081230803199338
"Aug 1998",467168.6647237928,-12.21320212290722
"Sep 1998",502470.80609856616,7.556615852145221
"Oct 1998",536969.2925158562,6.8657693140729
"Nov 1998",585879.9930355567,9.108658763435006
"Dec 1998",626166.2178339444,6.876190564155804
"Jan 1999",666865.7018921685,6.499789177227289
"Feb 1999",632493.7149271647,-5.154259226029545
"Mar 1999",669715.2909065548,5.884892624375926
"Apr 1999",671462.2376952745,0.26084917164650445
"May 1999",651734.7362357432,-2.937991200703116
