"Year","Capital","Return(%)"
1990,112101.0434083697,12.101043408369705
1991,156029.77127439616,39.18672523501834
1992,150473.52345946632,-3.561017727289073
1993,148547.56356308516,-1.2799327430516314
1994,155505.98401621915,4.684304667291895
1995,213659.1239232415,37.39607853351611
1996,307657.2068483716,43.99441559018071
1997,428325.98059261165,39.22182580423396
1998,626166.2178339444,46.18917511555343
1999,836597.8817002873,33.606358483259505
2000,697513.0301717364,-16.625054231057494
2001,646256.9084643577,-7.348410637541604
2002,473935.55486242514,-26.66452789052644
2003,514267.4417274578,8.509993911881192
2004,513545.14541000186,-0.14045149641005866
2005,497787.65869981353,-3.0683741928098525
2006,533615.7525321238,7.197465265790388
2007,515130.12179019884,-3.4642213342103574
2008,365076.6603160871,-29.12923456167552
2009,404455.7282677196,10.786520266055287
2010,431535.3553967431,6.695325405577836
2011,469707.1587929423,8.845579607516738
2012,504225.8236683054,7.348975681799165
2013,606491.6376869888,20.28174861705555
2014,684940.5085324596,12.934864385707884
2015,682761.8968608102,-0.3180731237983335
2016,787618.5116858361,15.357713326876276
2017,1010903.1797015811,28.34934231520556
2018,965354.0982695147,-4.505780805389553
2019,1301259.2414154531,34.7960550173329
2020,1665739.6187091991,28.00982046415902
2021,2119668.351764085,27.250881707828995
2022,1397330.6086050621,-34.07786612268189
2023,1808893.6412792734,29.45351874064146
2024,2749196.817364553,51.98222574436628
